# Age      Mass       Teff       logL       logg       logR
5.0011e+06 4.6638e-01 2.7281e+04 1.1488e+00 5.6561e+00 -7.7465e-01
5.4891e+06 4.6638e-01 2.7275e+04 1.1499e+00 5.6546e+00 -7.7392e-01
5.9891e+06 4.6638e-01 2.7270e+04 1.1511e+00 5.6531e+00 -7.7317e-01
6.4427e+06 4.6638e-01 2.7265e+04 1.1521e+00 5.6518e+00 -7.7249e-01
6.8757e+06 4.6638e-01 2.7260e+04 1.1531e+00 5.6505e+00 -7.7185e-01
7.2997e+06 4.6638e-01 2.7256e+04 1.1541e+00 5.6493e+00 -7.7122e-01
7.7201e+06 4.6638e-01 2.7251e+04 1.1550e+00 5.6480e+00 -7.7061e-01
8.1395e+06 4.6638e-01 2.7246e+04 1.1559e+00 5.6468e+00 -7.7000e-01
8.6395e+06 4.6638e-01 2.7240e+04 1.1570e+00 5.6453e+00 -7.6926e-01
9.1395e+06 4.6638e-01 2.7235e+04 1.1581e+00 5.6439e+00 -7.6854e-01
9.6000e+06 4.6638e-01 2.7229e+04 1.1591e+00 5.6426e+00 -7.6788e-01
1.0043e+07 4.6638e-01 2.7224e+04 1.1600e+00 5.6413e+00 -7.6726e-01
1.0478e+07 4.6638e-01 2.7218e+04 1.1608e+00 5.6401e+00 -7.6665e-01
1.0910e+07 4.6638e-01 2.7213e+04 1.1618e+00 5.6389e+00 -7.6602e-01
1.1342e+07 4.6638e-01 2.7208e+04 1.1627e+00 5.6376e+00 -7.6541e-01
1.1842e+07 4.6638e-01 2.7202e+04 1.1637e+00 5.6362e+00 -7.6471e-01
1.2342e+07 4.6638e-01 2.7197e+04 1.1648e+00 5.6348e+00 -7.6398e-01
1.2809e+07 4.6638e-01 2.7191e+04 1.1656e+00 5.6335e+00 -7.6336e-01
1.3262e+07 4.6638e-01 2.7185e+04 1.1665e+00 5.6323e+00 -7.6274e-01
1.3708e+07 4.6638e-01 2.7180e+04 1.1674e+00 5.6311e+00 -7.6212e-01
1.4153e+07 4.6638e-01 2.7175e+04 1.1684e+00 5.6298e+00 -7.6149e-01
1.4653e+07 4.6638e-01 2.7169e+04 1.1695e+00 5.6284e+00 -7.6077e-01
1.5144e+07 4.6638e-01 2.7163e+04 1.1704e+00 5.6270e+00 -7.6011e-01
1.5612e+07 4.6638e-01 2.7157e+04 1.1712e+00 5.6258e+00 -7.5950e-01
1.6071e+07 4.6638e-01 2.7152e+04 1.1721e+00 5.6246e+00 -7.5889e-01
1.6526e+07 4.6638e-01 2.7146e+04 1.1730e+00 5.6233e+00 -7.5827e-01
1.6980e+07 4.6638e-01 2.7141e+04 1.1739e+00 5.6221e+00 -7.5763e-01
1.7440e+07 4.6638e-01 2.7136e+04 1.1749e+00 5.6208e+00 -7.5698e-01
1.7889e+07 4.6638e-01 2.7131e+04 1.1759e+00 5.6195e+00 -7.5636e-01
1.8332e+07 4.6638e-01 2.7127e+04 1.1768e+00 5.6183e+00 -7.5575e-01
1.8768e+07 4.6638e-01 2.7122e+04 1.1776e+00 5.6171e+00 -7.5516e-01
1.9200e+07 4.6638e-01 2.7116e+04 1.1784e+00 5.6161e+00 -7.5462e-01
1.9634e+07 4.6638e-01 2.7111e+04 1.1791e+00 5.6150e+00 -7.5410e-01
2.0067e+07 4.6638e-01 2.7105e+04 1.1798e+00 5.6139e+00 -7.5355e-01
2.0495e+07 4.6638e-01 2.7100e+04 1.1805e+00 5.6128e+00 -7.5302e-01
2.0915e+07 4.6638e-01 2.7094e+04 1.1812e+00 5.6118e+00 -7.5250e-01
2.1329e+07 4.6638e-01 2.7089e+04 1.1819e+00 5.6108e+00 -7.5199e-01
2.1740e+07 4.6638e-01 2.7084e+04 1.1825e+00 5.6098e+00 -7.5149e-01
2.2144e+07 4.6638e-01 2.7079e+04 1.1832e+00 5.6088e+00 -7.5098e-01
2.2540e+07 4.6638e-01 2.7074e+04 1.1839e+00 5.6078e+00 -7.5049e-01
2.2928e+07 4.6638e-01 2.7069e+04 1.1846e+00 5.6068e+00 -7.5000e-01
2.3309e+07 4.6638e-01 2.7065e+04 1.1853e+00 5.6059e+00 -7.4952e-01
2.3684e+07 4.6638e-01 2.7061e+04 1.1859e+00 5.6049e+00 -7.4905e-01
2.4053e+07 4.6638e-01 2.7056e+04 1.1866e+00 5.6040e+00 -7.4859e-01
2.4416e+07 4.6638e-01 2.7052e+04 1.1872e+00 5.6031e+00 -7.4814e-01
2.4774e+07 4.6638e-01 2.7048e+04 1.1878e+00 5.6022e+00 -7.4770e-01
2.5127e+07 4.6638e-01 2.7044e+04 1.1884e+00 5.6013e+00 -7.4726e-01
2.5476e+07 4.6638e-01 2.7039e+04 1.1889e+00 5.6006e+00 -7.4689e-01
2.5829e+07 4.6638e-01 2.7035e+04 1.1893e+00 5.5999e+00 -7.4654e-01
2.6186e+07 4.6638e-01 2.7029e+04 1.1898e+00 5.5991e+00 -7.4614e-01
2.6536e+07 4.6638e-01 2.7025e+04 1.1903e+00 5.5983e+00 -7.4575e-01
2.6877e+07 4.6638e-01 2.7021e+04 1.1908e+00 5.5975e+00 -7.4534e-01
2.7208e+07 4.6638e-01 2.7017e+04 1.1914e+00 5.5966e+00 -7.4492e-01
2.7528e+07 4.6638e-01 2.7014e+04 1.1920e+00 5.5958e+00 -7.4451e-01
2.7839e+07 4.6638e-01 2.7011e+04 1.1926e+00 5.5950e+00 -7.4412e-01
2.8144e+07 4.6638e-01 2.7008e+04 1.1931e+00 5.5943e+00 -7.4376e-01
2.8449e+07 4.6638e-01 2.7004e+04 1.1935e+00 5.5937e+00 -7.4343e-01
2.8756e+07 4.6638e-01 2.7000e+04 1.1940e+00 5.5930e+00 -7.4308e-01
2.9058e+07 4.6638e-01 2.6997e+04 1.1945e+00 5.5923e+00 -7.4272e-01
2.9353e+07 4.6638e-01 2.6994e+04 1.1950e+00 5.5915e+00 -7.4236e-01
2.9641e+07 4.6638e-01 2.6991e+04 1.1954e+00 5.5909e+00 -7.4206e-01
2.9932e+07 4.6638e-01 2.6987e+04 1.1959e+00 5.5902e+00 -7.4169e-01
3.0211e+07 4.6638e-01 2.6984e+04 1.1963e+00 5.5897e+00 -7.4142e-01
3.0499e+07 4.6638e-01 2.6980e+04 1.1967e+00 5.5889e+00 -7.4107e-01
3.0773e+07 4.6638e-01 2.6978e+04 1.1971e+00 5.5884e+00 -7.4079e-01
3.1050e+07 4.6638e-01 2.6974e+04 1.1976e+00 5.5877e+00 -7.4044e-01
3.1316e+07 4.6638e-01 2.6972e+04 1.1979e+00 5.5872e+00 -7.4020e-01
3.1589e+07 4.6638e-01 2.6967e+04 1.1983e+00 5.5866e+00 -7.3987e-01
3.1851e+07 4.6638e-01 2.6965e+04 1.1987e+00 5.5860e+00 -7.3959e-01
3.2110e+07 4.6638e-01 2.6962e+04 1.1992e+00 5.5853e+00 -7.3925e-01
3.2358e+07 4.6638e-01 2.6960e+04 1.1995e+00 5.5849e+00 -7.3904e-01
3.2615e+07 4.6638e-01 2.6956e+04 1.1998e+00 5.5843e+00 -7.3875e-01
3.2866e+07 4.6638e-01 2.6953e+04 1.2003e+00 5.5836e+00 -7.3842e-01
3.3103e+07 4.6638e-01 2.6952e+04 1.2008e+00 5.5830e+00 -7.3810e-01
3.3331e+07 4.6638e-01 2.6950e+04 1.2013e+00 5.5824e+00 -7.3779e-01
3.3552e+07 4.6638e-01 2.6948e+04 1.2017e+00 5.5820e+00 -7.3758e-01
3.3784e+07 4.6638e-01 2.6945e+04 1.2020e+00 5.5814e+00 -7.3731e-01
3.4011e+07 4.6638e-01 2.6943e+04 1.2023e+00 5.5810e+00 -7.3710e-01
3.4243e+07 4.6638e-01 2.6939e+04 1.2026e+00 5.5805e+00 -7.3683e-01
3.4466e+07 4.6638e-01 2.6938e+04 1.2029e+00 5.5800e+00 -7.3659e-01
3.4688e+07 4.6638e-01 2.6935e+04 1.2033e+00 5.5794e+00 -7.3631e-01
3.4901e+07 4.6638e-01 2.6934e+04 1.2037e+00 5.5790e+00 -7.3611e-01
3.5118e+07 4.6638e-01 2.6930e+04 1.2039e+00 5.5785e+00 -7.3587e-01
3.5329e+07 4.6638e-01 2.6928e+04 1.2044e+00 5.5780e+00 -7.3559e-01
3.5531e+07 4.6638e-01 2.6927e+04 1.2048e+00 5.5774e+00 -7.3530e-01
3.5722e+07 4.6638e-01 2.6926e+04 1.2052e+00 5.5770e+00 -7.3509e-01
3.5918e+07 4.6638e-01 2.6923e+04 1.2055e+00 5.5765e+00 -7.3486e-01
3.6111e+07 4.6638e-01 2.6922e+04 1.2058e+00 5.5761e+00 -7.3467e-01
3.6308e+07 4.6638e-01 2.6919e+04 1.2061e+00 5.5757e+00 -7.3443e-01
3.6500e+07 4.6638e-01 2.6918e+04 1.2064e+00 5.5753e+00 -7.3425e-01
3.6694e+07 4.6638e-01 2.6915e+04 1.2066e+00 5.5749e+00 -7.3402e-01
3.6881e+07 4.6638e-01 2.6914e+04 1.2069e+00 5.5745e+00 -7.3384e-01
3.7070e+07 4.6638e-01 2.6911e+04 1.2072e+00 5.5740e+00 -7.3361e-01
3.7252e+07 4.6638e-01 2.6910e+04 1.2076e+00 5.5736e+00 -7.3338e-01
3.7428e+07 4.6638e-01 2.6908e+04 1.2079e+00 5.5731e+00 -7.3314e-01
3.7596e+07 4.6638e-01 2.6908e+04 1.2083e+00 5.5728e+00 -7.3297e-01
3.7770e+07 4.6638e-01 2.6905e+04 1.2085e+00 5.5724e+00 -7.3278e-01
3.7942e+07 4.6638e-01 2.6904e+04 1.2088e+00 5.5720e+00 -7.3259e-01
3.8112e+07 4.6638e-01 2.6902e+04 1.2091e+00 5.5716e+00 -7.3237e-01
3.8275e+07 4.6638e-01 2.6901e+04 1.2094e+00 5.5712e+00 -7.3218e-01
3.8437e+07 4.6638e-01 2.6899e+04 1.2097e+00 5.5708e+00 -7.3198e-01
3.8596e+07 4.6638e-01 2.6898e+04 1.2100e+00 5.5704e+00 -7.3180e-01
3.8753e+07 4.6638e-01 2.6896e+04 1.2102e+00 5.5700e+00 -7.3160e-01
3.8907e+07 4.6638e-01 2.6895e+04 1.2105e+00 5.5697e+00 -7.3145e-01
3.9065e+07 4.6638e-01 2.6893e+04 1.2107e+00 5.5694e+00 -7.3128e-01
3.9221e+07 4.6638e-01 2.6892e+04 1.2109e+00 5.5690e+00 -7.3111e-01
3.9375e+07 4.6638e-01 2.6890e+04 1.2112e+00 5.5687e+00 -7.3092e-01
3.9523e+07 4.6638e-01 2.6889e+04 1.2115e+00 5.5683e+00 -7.3073e-01
3.9666e+07 4.6638e-01 2.6888e+04 1.2118e+00 5.5679e+00 -7.3053e-01
3.9804e+07 4.6638e-01 2.6887e+04 1.2121e+00 5.5676e+00 -7.3039e-01
3.9947e+07 4.6638e-01 2.6885e+04 1.2123e+00 5.5673e+00 -7.3024e-01
4.0090e+07 4.6638e-01 2.6884e+04 1.2125e+00 5.5670e+00 -7.3010e-01
4.0234e+07 4.6638e-01 2.6882e+04 1.2127e+00 5.5667e+00 -7.2993e-01
4.0373e+07 4.6638e-01 2.6881e+04 1.2129e+00 5.5664e+00 -7.2978e-01
4.0512e+07 4.6638e-01 2.6879e+04 1.2131e+00 5.5661e+00 -7.2962e-01
4.0646e+07 4.6638e-01 2.6878e+04 1.2134e+00 5.5657e+00 -7.2946e-01
4.0777e+07 4.6638e-01 2.6877e+04 1.2137e+00 5.5654e+00 -7.2928e-01
4.0904e+07 4.6638e-01 2.6877e+04 1.2140e+00 5.5650e+00 -7.2912e-01
4.1028e+07 4.6638e-01 2.6875e+04 1.2142e+00 5.5647e+00 -7.2896e-01
4.1150e+07 4.6638e-01 2.6875e+04 1.2145e+00 5.5645e+00 -7.2882e-01
4.1274e+07 4.6638e-01 2.6874e+04 1.2146e+00 5.5642e+00 -7.2869e-01
4.1397e+07 4.6638e-01 2.6872e+04 1.2149e+00 5.5639e+00 -7.2853e-01
4.1517e+07 4.6638e-01 2.6872e+04 1.2151e+00 5.5636e+00 -7.2840e-01
4.1638e+07 4.6638e-01 2.6870e+04 1.2153e+00 5.5633e+00 -7.2826e-01
4.1757e+07 4.6638e-01 2.6869e+04 1.2155e+00 5.5630e+00 -7.2811e-01
4.1873e+07 4.6638e-01 2.6868e+04 1.2157e+00 5.5627e+00 -7.2796e-01
4.1986e+07 4.6638e-01 2.6867e+04 1.2160e+00 5.5624e+00 -7.2781e-01
4.2095e+07 4.6638e-01 2.6867e+04 1.2162e+00 5.5622e+00 -7.2769e-01
4.2206e+07 4.6638e-01 2.6866e+04 1.2164e+00 5.5619e+00 -7.2757e-01
4.2318e+07 4.6638e-01 2.6865e+04 1.2165e+00 5.5617e+00 -7.2745e-01
4.2430e+07 4.6638e-01 2.6864e+04 1.2167e+00 5.5614e+00 -7.2731e-01
4.2538e+07 4.6638e-01 2.6863e+04 1.2169e+00 5.5612e+00 -7.2720e-01
4.2647e+07 4.6638e-01 2.6862e+04 1.2171e+00 5.5610e+00 -7.2708e-01
4.2754e+07 4.6638e-01 2.6861e+04 1.2173e+00 5.5607e+00 -7.2695e-01
4.2858e+07 4.6638e-01 2.6860e+04 1.2175e+00 5.5605e+00 -7.2683e-01
4.2962e+07 4.6638e-01 2.6859e+04 1.2176e+00 5.5602e+00 -7.2671e-01
4.3064e+07 4.6638e-01 2.6858e+04 1.2178e+00 5.5600e+00 -7.2658e-01
4.3163e+07 4.6638e-01 2.6857e+04 1.2180e+00 5.5597e+00 -7.2645e-01
4.3259e+07 4.6638e-01 2.6857e+04 1.2183e+00 5.5595e+00 -7.2633e-01
4.3355e+07 4.6638e-01 2.6856e+04 1.2184e+00 5.5593e+00 -7.2622e-01
4.3451e+07 4.6638e-01 2.6855e+04 1.2186e+00 5.5590e+00 -7.2612e-01
4.3547e+07 4.6638e-01 2.6854e+04 1.2187e+00 5.5588e+00 -7.2600e-01
4.3642e+07 4.6638e-01 2.6854e+04 1.2189e+00 5.5586e+00 -7.2590e-01
4.3736e+07 4.6638e-01 2.6853e+04 1.2191e+00 5.5584e+00 -7.2579e-01
4.3828e+07 4.6638e-01 2.6852e+04 1.2192e+00 5.5582e+00 -7.2568e-01
