logM logR
-0.8239087409443188 -1.5010220476462
-0.8239087409443188 -1.501090287890813
-0.8239087409443188 -1.5011102189898384
-0.8239087409443188 -1.5011309662089762
-0.8239087409443188 -1.501148214693929
-0.8239087409443188 -1.5011586694494048
-0.8239087409443188 -1.5011623163865266
-0.8239087409472279 -1.5011626871274533
-0.8240420662880014 -1.501358868642113
-0.825459910418722 -1.503763494906231
-0.8275167361058722 -1.5083198914981257
-0.8291079829117685 -1.5114988725856267
-0.8302834596505179 -1.5134916751620127
-0.8312936740107221 -1.5149633726472909
-0.8324338296862988 -1.5164408845636286
-0.8332617430116441 -1.5174028276575822
-0.8340626521067722 -1.5182573777096053
-0.834862608140296 -1.5190483873301897
-0.8357805998785938 -1.5198830033644999
-0.8366587849420207 -1.5206198145085628
-0.8375915462150133 -1.5213418940770262
-0.8384166148610627 -1.521935761043338
-0.8391706757804432 -1.5224445717057384
-0.8399660101011908 -1.5229510896490974
-0.8407733957862205 -1.5234343105163766
-0.8414425342399244 -1.5238138992367287
-0.8421833611728389 -1.5242133906737427
-0.8429020789073335 -1.5245814045414579
-0.8436215493800865 -1.5249322451794192
-0.8442895915972639 -1.525240976409023
-0.8450040486856937 -1.5255590963031977
-0.8457135027381558 -1.5258591999591269
-0.8464197727436122 -1.5261453186024418
-0.847119839829011 -1.526416123713464
-0.8478794073546009 -1.5266961674277657
-0.8485700807813568 -1.5269396679507274
-0.8493187181775042 -1.5271912364130844
-0.8500647138529448 -1.5274285759583976
-0.8508011823959194 -1.5276555993454255
-0.8515378477638735 -1.5278695367423805
-0.8522633713893775 -1.5280731015256375
-0.8530424489441311 -1.5282807285587046
-0.8537906965708005 -1.5284707424464201
-0.8539043537275592 -1.528499167642726
-0.8545978521781158 -1.5286681539154585
-0.855396305910954 -1.5288534325778367
-0.8561885123612366 -1.5290300514481374
-0.8570270576815456 -1.529208448758408
-0.8578697807110615 -1.5293783013142221
-0.8586874484294118 -1.529536181153823
-0.8595684249431328 -1.5296989117386528
-0.8605321621509097 -1.5298674314417868
-0.861414667221715 -1.530012837654443
-0.8622845149375046 -1.5301492391157447
-0.8632215288802633 -1.530288062406219
-0.8641623279410918 -1.530417342667393
-0.8650732507621429 -1.5305366120801738
-0.866053724493901 -1.530657179826845
-0.8669386684881496 -1.5307583410209484
-0.8678908779146359 -1.5308600585402594
-0.8688310225320338 -1.530954007065459
-0.8699336564313699 -1.531053978365331
-0.8709287816095315 -1.5311362201847742
-0.8719117159196113 -1.5312103841185543
-0.8728778376252596 -1.5312770259381219
-0.8739163383550537 -1.5313414819467914
-0.8750326698239975 -1.5314022620071195
-0.8760418355788224 -1.5314503440936105
-0.8771252841072978 -1.5314957133992644
-0.8782888430327219 -1.5315364854834248
-0.8794526360660431 -1.5315681767668101
-0.8805756471534248 -1.5315938762949048
-0.8816824078751196 -1.5316113064866346
-0.8827670911491947 -1.5316222443660037
-0.8838376675136804 -1.5316287611100239
-0.8848738981290694 -1.5316291543606106
-0.8860263242822823 -1.531623308919747
-0.8861127513218202 -1.5316228244457535
-0.8871535403930504 -1.531612739119179
-0.8882621335090327 -1.5315972069124193
-0.8893487778898937 -1.531575198637583
-0.8905110566993109 -1.531549262541384
-0.8917577539467741 -1.5315133869493311
-0.8930916024408234 -1.5314698327365812
-0.8945199826248819 -1.531414911837545
-0.8958021781992672 -1.5313598416213834
-0.8970629176327531 -1.5313000705275441
-0.8982968904801837 -1.5312364414758555
-0.8996165935235568 -1.5311637500434072
-0.9008058037965166 -1.5310920852700658
-0.9021942111900682 -1.5310046743755834
-0.9037140208889614 -1.5309024998502212
-0.9049302917787214 -1.5308149365829082
-0.906230267376538 -1.530717639893148
-0.9073962416783132 -1.5306253240035226
-0.9086417802900648 -1.5305244761992949
-0.9101036768411852 -1.53040011395764
-0.9115439859463091 -1.5302738095275645
-0.912805148222141 -1.5301572843646583
-0.9141516035579462 -1.5300301000084089
-0.9158651539657446 -1.529862851278728
-0.9176508371618479 -1.5296803075138168
-0.9192400731871139 -1.529512958086158
-0.9206358028080314 -1.5293615594094054
-0.9209945685151636 -1.5293213248706936
-0.9221248962645319 -1.5291961842074802
-0.9235847557480499 -1.529029267956179
-0.925140899943508 -1.5288480925057655
-0.9271384719238702 -1.528608412635625
-0.9293852356317208 -1.528330629836078
-0.9312906188391422 -1.5280874065744448
-0.9331861011469591 -1.527839637866009
-0.9354226624014202 -1.5275411697441204
-0.9369115673533849 -1.527337915414274
-0.9395297677936116 -1.5269729380183121
-0.9422645844892207 -1.5265819126699696
-0.9450393257341895 -1.526172168535424
-0.9478328886134607 -1.5257520078794578
-0.9508507872778249 -1.525285595063498
-0.9546592424756403 -1.524683290427816
-0.9584145643654325 -1.5240726982815216
-0.9588365598655516 -1.5240037466443528
-0.9617523499323084 -1.5235181142278946
-0.9655651531706422 -1.5228731782494669
-0.9693034183935345 -1.5222247944906107
-0.9733991204669786 -1.5215025628157148
-0.9773652435206902 -1.520787573218393
-0.9827632610949378 -1.519798630465965
-0.9873940713673575 -1.5189276425947666
-0.9924072999349582 -1.5179706030926419
-0.9982176012377615 -1.5168431079089353
-1.0001126154830444 -1.5164672325998012
-1.0034073127247594 -1.5158140440230694
-1.0100232723058309 -1.5144865067349138
-1.016689885974832 -1.5131203571571983
-1.024363950300881 -1.511527360521408
-1.0353915386474712 -1.5091897662683504
-1.0454881176615547 -1.507008486013116
-1.0468224214839026 -1.5067172456567224
-1.055999617358447 -1.5047008878587576
-1.0696942924018373 -1.501644350381434
-1.0833389940905873 -1.4985509553079472
-1.0969354293278226 -1.4954293469344897
-1.1104821069181936 -1.4922868473780069
-1.123977494017229 -1.489130689145427
-1.1374207407629315 -1.4859667475671066
-1.1508157191872697 -1.4827926957442155
-1.156160613110428 -1.481520661951193
-1.164162114063881 -1.4796136286048773
-1.1774500741506582 -1.4764488682936803
-1.1906837713203362 -1.4732959604612952
-1.203885905568015 -1.4701223191626696
-1.2170456023669853 -1.4669476447136367
-1.2222849901779682 -1.465698387102595
-1.2301097435116621 -1.4638604678814027
-1.2430986014659253 -1.4608331483039851
-1.2561002107301653 -1.457726502459897
-1.2690891792963284 -1.4545818288926704
-1.2819971722747716 -1.4515128790522018
-1.294833979569761 -1.4485075154883489
-1.301234735934733 -1.4470147277259207
-1.307625594201445 -1.4455258102632447
-1.3203763604287047 -1.4425625629039376
-1.3330645013508626 -1.4396553611451526
-1.3456912122150866 -1.4368050494283613
-1.3582976831690796 -1.4339460017375996
-1.3708450362743498 -1.4311427860892616
-1.383298196855565 -1.4284565138537533
-1.3957522582351491 -1.4257326422459633
-1.3982454036434717 -1.4251795613027443
-1.4081977792297315 -1.4229859359529062
-1.420563601132965 -1.4203364397591267
-1.421796515247552 -1.4200757800320682
-1.4328751718714132 -1.4177445727906453
-1.4451515419625787 -1.4151795326886656
-1.457382054788437 -1.4126603036593819
-1.4695700685363646 -1.4101827400658227
-1.4817162372519133 -1.4077469563136353
-1.4938206636663205 -1.405353965751074
-1.5058845519791995 -1.403002897570215
-1.5179100587282117 -1.4006912191981582
-1.5239089229169935 -1.3995496285286653
-1.5298991278091443 -1.3984166986836648
-1.5418556258555054 -1.3961738064181237
-1.546629674324816 -1.395284742639279
-1.553783461840765 -1.3939568703253513
-1.5656877424627964 -1.3917580834957086
-1.5775639524352543 -1.3895858190435089
-1.5894125861968362 -1.3874401049043883
-1.6012360054604124 -1.3853177187698245
-1.613034700944603 -1.383218495858957
-1.6248094268486322 -1.381141888991429
-1.6365598477338485 -1.379089124213624
-1.6482923866408656 -1.3770500123841691
-1.652981547348978 -1.3762363354440534
-1.6600089091556267 -1.3750218183645526
-1.6717002080538514 -1.373020767219557
-1.6833710261630448 -1.371039511393715
-1.695018418402881 -1.3690834600420878
-1.6996707302348713 -1.3683083988208578
-1.706643917801402 -1.367150675209402
-1.7182440844561306 -1.3652473255310282
-1.7298173551666423 -1.36337690529668
-1.7413663310672587 -1.3615350929502357
-1.7448236574587301 -1.3609927412315035
-1.7528811726127917 -1.3597394488580374
-1.7643619427065724 -1.3579901680270756
-1.7758072506865237 -1.3562902694713213
-1.7872181392857527 -1.3546383254979597
-1.7985948365543898 -1.3530344028853383
-1.809935071516566 -1.3514827813164652
-1.821239307387673 -1.3499830831125328
-1.8280044139956415 -1.349108614110463
-1.8291306916137395 -1.3489646754658706
-1.8325073225254531 -1.3485360649707323
-1.8437386895316907 -1.3471428574263817
-1.8549336209329481 -1.345803429109043
-1.866093462114768 -1.344515852785126
-1.8772188362843742 -1.3432793282275686
-1.8883099938153185 -1.3420937619774402
-1.8993684953579322 -1.3409567995462575
-1.9070909546304933 -1.3401883674830162
-1.9103960750790927 -1.339865697496958
-1.9213933210677339 -1.3388197328507125
-1.9312659716005482 -1.3379153496221603
-1.9323615954836224 -1.337816829089318
-1.9433025431401527 -1.3368543878215315
-1.9542176199030419 -1.3359301289988825
-1.9651083173823134 -1.3350417127146215
-1.9759763946469806 -1.3341863198034365
-1.9824867840117892 -1.3336883279038776
-1.9868229433880666 -1.3333622759062458
-1.9922389190826872 -1.3329607515830806
-1.9976507624223936 -1.332564995732575
-2.0008958887529182 -1.332330307049893
-2.0084619484910946 -1.3317910192793747
-2.019256837453666 -1.3310399651536828
-2.030037548318724 -1.3303083522108266
-2.037576341430636 -1.3298066189936961
-2.0408050636647124 -1.3295946324748167
-2.051560151925675 -1.3288976536230905
-2.0526350275242664 -1.3288287972134196
-2.062305402393086 -1.328213139149321
-2.0730419015154413 -1.327539291271819
-2.0837713161246487 -1.3268734207076731
-2.0944925973136796 -1.3262174650627554
-2.1019944126083527 -1.3257612534325554
-2.105208661243741 -1.32556655372843
-2.115917980139872 -1.324923404198403
-2.1191293616361095 -1.3247321646187582
-2.1266204976237235 -1.32428828061235
-2.1373177314251657 -1.323658677292762
-2.1480082321163465 -1.32303715749583
-2.149076814325423 -1.3229756255287333
-2.158690559843041 -1.3224263936621066
-2.168298663423553 -1.3218842608939458
-2.16936579849326 -1.3218246080194176
-2.1800328275968113 -1.32123385803765
-2.1853636257542006 -1.320942034560101
-2.1906926950905192 -1.3206524507467665
-2.2002799610633623 -1.3201381040284736
