logM logR
-2.3 -1.2619758446321372
-2.275 -1.2644639485179767
-2.25 -1.2670748327012618
-2.2249999999999996 -1.269824260666473
-2.1999999999999997 -1.2727088907320674
-2.175 -1.2757303795857655
-2.15 -1.2789102672799575
-2.125 -1.282245690169571
-2.0999999999999996 -1.2857632473073992
-2.0749999999999997 -1.2894481585771644
-2.05 -1.2933298805980458
-2.025 -1.2973869431499085
-2.0 -1.3016401390978543
-1.9749999999999999 -1.306082697968516
-1.95 -1.310704555087276
-1.9249999999999998 -1.315496135541476
-1.9 -1.3204416300400923
-1.875 -1.3255341551207827
-1.8499999999999999 -1.3307220601827716
-1.825 -1.3360053965212322
-1.7999999999999998 -1.3413581570040647
-1.775 -1.346757235223328
-1.75 -1.3521816158667816
-1.725 -1.3576168236194317
-1.7 -1.3630297482877491
-1.6749999999999998 -1.3683516431773965
-1.65 -1.3735981263952608
-1.625 -1.3787694375640487
-1.6 -1.3838813670149133
-1.575 -1.3889602736824045
-1.55 -1.3940260275546998
-1.525 -1.3990914859804993
-1.5 -1.4041849771337496
-1.475 -1.4093577979308918
-1.45 -1.4146197402101233
-1.425 -1.4199679185465084
-1.4 -1.4254315930102308
-1.375 -1.430981220066412
-1.35 -1.4365553582261947
-1.3250000000000002 -1.4422287555749098
-1.3 -1.4479871820421821
-1.2750000000000001 -1.4537859063032512
-1.25 -1.4597232369989814
-1.225 -1.465518310437951
-1.2000000000000002 -1.4713873264764323
-1.175 -1.4772161883467165
-1.1500000000000001 -1.4830077929742969
-1.125 -1.4887235544031143
-1.1 -1.494296031763679
-1.0750000000000002 -1.4998161232546718
-1.05 -1.505110608432825
-1.0250000000000001 -1.5101898675897223
-0.9999999999999999 -1.5149863160834602
-0.9750000000000001 -1.5194054977466773
-0.9500000000000002 -1.5232324788193412
-0.925 -1.5261976516593116
-0.9000000000000001 -1.528138833471314
-0.8750000000000002 -1.5277938520227967
-0.85 -1.5230145795778334
