logM logR
-0.4559319556497244 -1.163209850168542
-0.4559319556497244 -1.174721298597871
-0.4559319556497244 -1.173532080880244
-0.4559319556497244 -1.1699729225112807
-0.4559319556497453 -1.1686063393244144
-0.4561458036302458 -1.1700964373633032
-0.45827398582647527 -1.1779578905234724
-0.4618621835403547 -1.1863069831137296
-0.4680974584140798 -1.1974999715573482
-0.47551876231295137 -1.2091335967275016
-0.4816468712384967 -1.2183479782186042
-0.4844354837298016 -1.2225209323065203
-0.4858557259454712 -1.2246564818947463
-0.48680190439775345 -1.2260894841530057
-0.4884479535516134 -1.2285912537434116
-0.491872702986102 -1.2337671657434637
-0.49652639340639504 -1.2407441287626042
-0.5015217071661418 -1.2482019763081509
-0.5097381994176242 -1.2601691512615028
-0.517055246226846 -1.270372325923363
-0.5234960669409668 -1.2789866793905151
-0.5254412243800907 -1.2814746613838197
-0.5355031195364299 -1.2934758895026672
-0.5463001632077175 -1.3045855799359078
-0.5580627741172907 -1.3145710080812725
-0.5687285286104291 -1.3218515803896576
-0.5717468723847674 -1.3237156036615119
-0.5734439494174264 -1.3247351775820562
-0.5751926428426455 -1.3257238325757121
-0.5769635379454073 -1.3266834022801002
-0.5788308334923465 -1.327649666819522
-0.580578137872789 -1.3285145711436883
-0.5825393752302629 -1.3294379588113097
-0.5845114112160524 -1.3303304868011294
-0.5863832937958997 -1.3311461646120346
-0.5882431852520242 -1.3319227424980928
-0.5905607854741093 -1.3328346263781004
-0.5929915684501856 -1.3337363390466976
-0.5954124246608299 -1.3346053674268332
-0.5975248120130632 -1.33532094623539
-0.6001868545887914 -1.336167276857044
-0.6025246285562789 -1.3368769553893418
-0.6050267815899035 -1.3375940278732017
-0.607388921918283 -1.3382272819097478
-0.6103753164835564 -1.3389756081112607
-0.6135008645480372 -1.339713807453414
-0.616539965697545 -1.3403789653280853
-0.6196974983759711 -1.3410320322853708
-0.6232952083014381 -1.3416913655436187
-0.6266474513313058 -1.3422841731603634
-0.6302813310390224 -1.3428518390470252
-0.6340010660160346 -1.3433797726435928
-0.6380705109688268 -1.3438887341710861
-0.6421554180511274 -1.344348425893801
-0.647185779429383 -1.3448367579413067
-0.652450247856472 -1.3452723306959806
-0.6579919404067567 -1.34565178269479
-0.6640703551595442 -1.3459650828437075
-0.6704702886614569 -1.346201362842334
-0.6774577888118019 -1.3463621497733789
-0.6847746640433429 -1.346427170825847
-0.692933481960222 -1.346385765322843
-0.6990144378301819 -1.3462858247157339
