logM logR
-2.5 -1.0241245313714116
-2.45 -1.0303277175987862
-2.4 -1.0366275598757153
-2.35 -1.0431897070469087
-2.3 -1.0501464705428367
-2.25 -1.0572124337494087
-2.2 -1.0645754841517445
-2.15 -1.0724117358229917
-2.1 -1.0801996889168735
-2.05 -1.0883052384810885
-2.0 -1.096649926364585
-1.95 -1.105394997167515
-1.9 -1.1142337670397497
-1.85 -1.1233786581434582
-1.7999999999999998 -1.133067527502926
-1.75 -1.1428102790735368
-1.7 -1.1530137840971646
-1.65 -1.1639478836770523
-1.6 -1.1757055744208118
-1.5499999999999998 -1.1874701890921306
-1.5 -1.19926639818462
-1.45 -1.2111990062483078
-1.4 -1.222887786355384
-1.3499999999999999 -1.2344911060750356
-1.2999999999999998 -1.2460161493478903
-1.25 -1.2569071835055625
-1.2 -1.2675629813121903
-1.15 -1.2779186678219903
-1.0999999999999999 -1.2883813201743848
-1.0499999999999998 -1.2990467074232652
-0.9999999999999999 -1.3100592561801423
-0.9999999999999999 -1.3102826241427077
-0.95 -1.3202893041359904
-0.9 -1.3296126757476685
-0.85 -1.3378054695075898
-0.7999999999999999 -1.3442979064772171
-0.75 -1.3473184210992102
-0.7 -1.3342229184649892
